***************************
 LISFLOOD-FP version 5.99.0
***************************

 This is a modified version 5.9 including Basic Model Interface (BMI) compatibility

***************************

 The model needs therefore be executed accordingly!

***************************

Loading parameters... 
Using acceleration formulation for floodplain flow
Using acceleration formulation for floodplain flow
Reading parameters done.


Start Date: 9/8/2026 
Start Time: 17:10:41 


Loading DEM:	mahanadi.asc
1312x973
BL corner	(440847.597798,2130377.223441)
NODATA_value	-9999.000000
Done.

Loading channel information:	mahanadi.river
1 Channel Segment
377 points in channel segment 0
Xsec  205	w=3141.020 n=0.035 z=183.972
Xsec  206	w=3147.110 n=0.035 z=177.203
Xsec  207	w=3153.180 n=0.035 z=170.388
Xsec  208	w=3159.240 n=0.035 z=163.284
Xsec  209	w=3165.270 n=0.035 z=155.940
Xsec  210	w=3171.290 n=0.035 z=148.266
Xsec  211	w=3177.300 n=0.035 z=140.573
Xsec  212	w=3183.280 n=0.035 z=139.017
Xsec  213	w=3189.250 n=0.035 z=137.596
Xsec  214	w=3195.210 n=0.035 z=136.067
Xsec  215	w=3201.140 n=0.035 z=134.697
Xsec  216	w=3207.060 n=0.035 z=133.152
Xsec  217	w=3212.970 n=0.035 z=131.630
Xsec  218	w=3218.850 n=0.035 z=130.048
Xsec  219	w=3224.720 n=0.035 z=128.335
Xsec  220	w=3230.580 n=0.035 z=126.648
Xsec  221	w=3236.420 n=0.035 z=124.926
Xsec  222	w=3242.240 n=0.035 z=123.162
Xsec  223	w=3248.050 n=0.035 z=121.549
Xsec  224	w=3253.840 n=0.035 z=120.247
Xsec  225	w=3259.620 n=0.035 z=118.885
Xsec  226	w=3265.380 n=0.035 z=117.954
Xsec  227	w=3271.130 n=0.035 z=117.074
Xsec  228	w=3276.860 n=0.035 z=116.320
Xsec  229	w=3282.570 n=0.035 z=115.746
Xsec  230	w=3288.280 n=0.035 z=115.119
Xsec  231	w=3293.960 n=0.035 z=114.410
Xsec  232	w=3299.630 n=0.035 z=113.790
Xsec  233	w=3305.290 n=0.035 z=113.043
Xsec  234	w=3310.930 n=0.035 z=112.296
Xsec  235	w=3316.560 n=0.035 z=111.582
Xsec  236	w=3322.180 n=0.035 z=110.678
Xsec  237	w=3327.780 n=0.035 z=109.917
Xsec  238	w=3333.360 n=0.035 z=109.042
Xsec  239	w=3338.930 n=0.035 z=108.054
Xsec  240	w=3344.490 n=0.035 z=107.292
Xsec  241	w=3350.040 n=0.035 z=106.341
Xsec  242	w=3355.570 n=0.035 z=105.168
Xsec  243	w=3361.080 n=0.035 z=103.977
Xsec  244	w=3366.590 n=0.035 z=102.734
Xsec  245	w=3372.080 n=0.035 z=101.492
Xsec  246	w=3377.550 n=0.035 z=99.934
Xsec  247	w=3383.020 n=0.035 z=98.295
Xsec  248	w=3388.470 n=0.035 z=97.069
Xsec  249	w=3393.900 n=0.035 z=95.576
Xsec  250	w=3399.330 n=0.035 z=94.083
Xsec  251	w=3404.740 n=0.035 z=92.746
Xsec  252	w=3410.140 n=0.035 z=91.344
Xsec  253	w=3415.520 n=0.035 z=90.254
Xsec  254	w=3420.890 n=0.035 z=89.058
Xsec  255	w=3426.250 n=0.035 z=87.596
Xsec  256	w=3431.600 n=0.035 z=86.533
Xsec  257	w=3436.940 n=0.035 z=85.574
Xsec  258	w=3442.260 n=0.035 z=84.471
Xsec  259	w=3447.570 n=0.035 z=83.509
Xsec  260	w=3452.870 n=0.035 z=83.034
Xsec  261	w=3458.150 n=0.035 z=81.943
Xsec  262	w=3463.420 n=0.035 z=80.845
Xsec  263	w=3468.690 n=0.035 z=79.546
Xsec  264	w=3473.940 n=0.035 z=78.288
Xsec  265	w=3479.170 n=0.035 z=76.896
Xsec  266	w=3484.400 n=0.035 z=75.508
